SKU,EAN,"OLD EAN",stock
KF23263,0732064574363,0732064574363,0
KF23264,0732064574356,0732064574356,0
KF23265,0732064574349,0732064574349,0
KF23266,0732064574332,0732064574332,0
KF231691,0732064574325,0732064574325,0
KF23267,0732064574318,0732064574318,0
KF23268,0732064574301,0732064574301,0
KF23269,0732064574295,0732064574295,0
KF23270,0732064574288,0732064574288,0
KF23271,0732064574271,0732064574271,0
KF23272,0732064574264,0732064574264,0
KF23273,0732064574257,0732064574257,0
KF23274,0732064574240,0732064574240,0
KF23275,0732064574233,0732064574233,0
KF23276,0732064574226,0732064574226,0
KF23277,0732064574219,0732064574219,0
KF23278,0732064574202,0732064574202,0
KF23279,0732064574196,0732064574196,0
KF23280,0732064574189,0732064574189,0
KF23281,0732064574172,0732064574172,0
KF23282,0732064574165,0732064574165,0
KF23283,0732064574158,0732064574158,0
KF23284,0732064574141,0732064574141,0
KF23285,0732064574127,0732064574127,0
KF23286,0732064574110,0732064574110,0
KF23287,0732064574103,0732064574103,0
KF23288,0732064574097,0732064574097,0
KF231692,0732064574080,0732064574080,0
KF23289,0732064574073,0732064574073,0
KF23290,0732064574066,0732064574066,0
KF23291,0732064574059,0732064574059,0
KF23292,0732064574042,0732064574042,0
KF23293,0732064574035,0732064574035,0
KF23294,0732064574028,0732064574028,0
KF23295,0732064574011,0732064574011,0
KF23296,0732064574004,0732064574004,0
KF23297,0732064573991,0732064573991,0
KF23298,0732064573984,0732064573984,0
KF23299,0732064573977,0732064573977,0
KF23300,0732064573960,0732064573960,0
KF23301,0732064573953,0732064573953,0
KF23302,0732064573946,0732064573946,0
KF23303,0732064573939,0732064573939,0
KF23304,0732064573922,0732064573922,0
KF23305,0732064573915,0732064573915,0
KF23306,0732064573908,0732064573908,0
KF23307,0732064573892,0732064573892,0
KF231693,0843439133228,0843439133228,0
KF231694,0843439133952,0843439133952,0
KF231695,0843439132337,0843439132337,0
KF231696,0843439131903,0843439131903,0
KF231697,0843439127029,0843439127029,0
KF231698,0843439110410,0843439110410,0
KF231699,0843439110441,0843439110441,0
KF231700,0843439106017,0843439106017,0
KF231701,0843439127012,0843439127012,0
KF231702,0843439110465,0843439110465,0
KF231703,0843439110458,0843439110458,0
KF231704,0843439110373,0843439110373,0
KF231495,843439125759,843439125759,10
KF231705,0843439133822,0843439133822,0
KF231706,0658551820815,0658551820815,0
KF231707,0843439106727,0843439106727,0
KF231489,843439103979,843439103979,5
KF231708,0843439106703,0843439106703,0
KF231488,843439100381,843439100381,10
KF231487,0843439130111,0843439130111,10
KF231709,0843439132542,0843439132542,0
KF231508,843439125926,843439125926,2
KF231506,843439124875,843439124875,4
KF231507,843439125094,843439125094,9
KF231710,0843439131132,0843439131132,0
KF231711,0843439105072,0843439105072,0
KF231494,843439111431,843439111431,10
KF23308,0843439130098,0843439130098,0
KF23309,0843439132382,0843439132382,0
KF23310,0843439132375,0843439132375,0
KF23311,0843439125728,0843439125728,0
KF23312,0000000000005,0000000000005,0
KF23313,0732064573885,0732064573885,0
KF23314,0732064573878,0732064573878,0
KF23315,0732064573861,0732064573861,0
KF23316,0732064573854,0732064573854,0
KF23317,0732064573847,0732064573847,0
KF23318,0732064573830,0732064573830,0
KF23319,0732064573823,0732064573823,0
KF23320,0732064573816,0732064573816,0
KF23321,0732064573809,0732064573809,0
KF23322,0732064573793,0732064573793,0
KF23323,0732064573786,0732064573786,0
KF23324,0732064573779,0732064573779,0
KF23325,0732064573762,0732064573762,0
KF23326,0732064573755,0732064573755,0
KF23327,0732064573748,0732064573748,0
KF23328,0732064573731,0732064573731,0
KF23329,0732064573724,0732064573724,0
KF23330,0732064573717,0732064573717,0
KF23331,0732064573700,0732064573700,0
KF23332,0732064573694,0732064573694,0
KF23333,0732064573687,0732064573687,0
KF23334,0732064573670,0732064573670,0
KF23335,0732064573663,0732064573663,0
KF23336,0732064573656,0732064573656,0
KF23337,0732064573649,0732064573649,0
KF23338,0732064573632,0732064573632,0
KF23339,0732064573625,0732064573625,0
KF23340,0732064573618,0732064573618,0
KF23341,0732064573601,0732064573601,0
KF23342,0732064573595,0732064573595,0
KF23343,0732064573588,0732064573588,0
KF23344,0732064573571,0732064573571,0
KF23345,0732064573564,0732064573564,0
KF23346,0732064573557,0732064573557,0
KF23347,0732064573540,0732064573540,0
KF23348,0732064573533,0732064573533,0
KF23349,0732064573526,0732064573526,0
KF23350,0732064573502,0732064573502,0
KF23351,0732064573496,0732064573496,0
KF23352,0732064573489,0732064573489,0
KF231712,0000000000002,0000000000002,0
KF23353,843439125766,843439125766,0
KF231493,843439104198,843439104198,10
KF231499,843439102941,843439102941,0
KF231500,0843439131361,0843439131361,0
KF231486,843439131323,843439131323,0
KF231485,843439129993,843439129993,5
KF231713,0843439130234,0843439130234,0
KF231714,0843439130241,0843439130241,0
KF23354,0843439101524,0843439101524,0
KF231492,843439108356,843439108356,10
KF231715,0843439130296,0843439130296,0
KF231484,843439129924,843439129924,10
KF231716,0843439128897,0843439128897,0
KF231717,0843439128774,0843439128774,0
KF231483,843439128705,843439128705,10
KF23355,0843439128668,0843439128668,0
KF231718,0843439128651,0843439128651,0
KF231482,843439124684,843439124684,10
KF231491,843439124998,843439124998,4
KF23356,0843439124974,0843439124974,0
KF23357,0843439111387,0843439111387,0
KF231481,843439111486,843439111486,10
KF231480,843439108806,843439108806,10
KF231501,843439108783,843439108783,10
KF231719,0843439107731,0843439107731,0
KF23358,0752454322220,0752454322220,0
KF231505,752454311163,752454311163,5
KF231479,790304517518,790304517518,2
KF231502,752454320219,752454320219,4
KF231720,0843439101777,0843439101777,0
KF231478,843439108042,843439108042,8
KF23359,0843439107427,0843439107427,0
KF231490,843439108011,843439108011,10
KF231477,843439108066,843439108066,0
KF23360,0843439107335,0843439107335,0
KF231498,843439103009,843439103009,7
KF23361,0843439102736,0843439102736,0
KF231721,0752454324286,0752454324286,0
KF231476,843439101937,843439101937,5
KF231475,752454320363,752454320363,10
KF231497,752454313402,752454313402,6
KF231722,0843439100626,0843439100626,0
KF231496,843439100602,843439100602,3
KF231474,752454316311,752454316311,0
KF231473,752454323333,752454323333,5
KF231723,0752454310326,0752454310326,0
KF231724,0752454310579,0752454310579,0
KF23362,0843439100558,0843439100558,0
KF23363,0843439100572,0843439100572,0
KF23364,843439100299,843439100299,1
KF23365,0752454318469,0752454318469,0
KF23366,0752454320134,0752454320134,0
KF23367,0752454320110,0752454320110,0
KF23368,0732064577883,0732064577883,0
KF23369,0732064577890,0732064577890,0
KF23370,0732064577906,0732064577906,0
KF23371,0732064577913,0732064577913,0
KF231516,0732064577920,0732064577920,4
KF23372,0732064577937,0732064577937,0
KF23373,0732064577944,0732064577944,0
KF23374,0732064577951,0732064577951,0
KF23375,0732064577968,0732064577968,0
KF23376,0732064577975,0732064577975,0
KF23377,0732064577982,0732064577982,0
KF23378,0732064577999,0732064577999,0
KF23379,0732064578002,0732064578002,10
KF231610,0732064578019,0732064578019,10
KF231607,0732064578026,0732064578026,10
KF23380,0732064578033,0732064578033,10
KF23381,0732064578040,0732064578040,0
KF23382,0732064578057,0732064578057,10
KF231512,0732064578064,0732064578064,0
KF23383,0732064578071,0732064578071,0
KF23384,0732064578088,0732064578088,2
KF23385,0732064578095,0732064578095,5
KF23386,0732064578101,0732064578101,10
KF23387,0732064578118,0732064578118,10
KF23388,0732064578125,0732064578125,10
KF23389,0732064578132,0732064578132,0
KF23390,0732064578149,0732064578149,10
KF23391,0732064578156,0732064578156,10
KF23392,0732064578163,0732064578163,7
KF23393,0732064578170,0732064578170,3
KF23394,0732064578187,0732064578187,4
KF23395,0732064578194,0732064578194,10
KF23396,0732064578200,0732064578200,10
KF23397,0732064578217,0732064578217,9
KF23398,0732064578224,0732064578224,0
KF23399,0732064578231,0732064578231,10
KF23400,0732064578248,0732064578248,8
KF23401,0732064578255,0732064578255,0
KF23402,0732064578262,0732064578262,0
KF23403,0732064578279,0732064578279,10
KF23404,0732064578286,0732064578286,0
KF23405,0732064578293,0732064578293,4
KF23406,0732064578309,0732064578309,10
KF23407,0732064578316,0732064578316,0
KF23408,0732064578323,0732064578323,10
KF23409,0732064578330,0732064578330,10
KF231602,0732064578347,0732064578347,6
KF23410,0732064578354,0732064578354,10
KF23411,0732064578361,0732064578361,10
KF23412,0732064578378,0732064578378,0
KF23413,0732064578385,0732064578385,10
KF23414,0732064578392,0732064578392,10
